Setting,Value,Enabled,Purpose,Safety rule,Notes
SOURCE_DRIFT_ON_RESUME,REVALIDATION_REQUIRED,TRUE,"Compare target IDs, revisions/hashes, package banner, corrections, and Dispatch state before resuming",Never continue from a stale checkpoint,Resume Protocol §10
PAUSE_FALLBACK_POLICY,RELEASE_UNLESS_FALLBACK_HAS_UNFINISHED_WORK,TRUE,"Inactive session normally reserves one scope, not two",Checkpoint a genuinely unfinished fallback separately,"Resume Protocol §§4,13"
RESUME_TEST_COVERAGE,CST-056_TO_CST-061__PIT-093_TO_PIT-108,TRUE,"Same-thread resume, transfer takeover, pre-control recovery, forced cutoff, source drift, conflict, runtime, fallback, and lineage tests",Three live reversible simulations plus property tests,Final release-readiness audit 2026-07-25
TRC_STANDARD_CURRENT_STATE_ADDENDUM_ID,13b8aflK2VvzzPRQz8HVHqkBbBdKtUq5u81j-h-Olnk4,TRUE,Current-state and governance correction for TRC-STANDARD-001-v1.3-R0.2; makes same-run leaf verification explicit without changing the root mathematics.,"Additive correction only; accepted root NONE, sealed NO; frozen evidence remains successor-only.",TRC-COR-014-v1.0; OP-PROT-012; OP-PROT-013; GP-REC-EC020-WO2-20260726-01
CURRENT_NEW_MODEL_ENTRY_PROTOCOL_ID,1U155GYd-MlPvnqXQtzTMRdtu7T1x6vsEPSNjC1LQOm0,TRUE,"Exact-ID cold start, compact task selection, and tool-call circuit breaker",Operational only; cannot alter scientific status or override user constraints,OP-PROT-015-v1.0
COLD_START_CONTROL_VIEW_SHEET,Cold Start Control View,TRUE,"Formula-driven join of live Dispatch IDs, claims, gates, source bundles, exact entry sources, and fail-closed entry verdicts; cold-start range A1:N40",View keys must equal live Task Integrity Gate keys; formula errors or missing Exact Entry Source return HOLD,sheetId 2026072606; OP-PROT-015 source-bundle clarification
COLD_START_NORMAL_CALL_BUDGET,5,TRUE,Physical connector calls from unknown Drive state through exact source open,Semantic stages must not be mislabeled as physical calls,OP-PROT-015 §2
COLD_START_RECOVERY_CALL_BUDGET,2,TRUE,Named-predicate recovery allowance before source entry,Each extra call requires an explicit failure predicate,OP-PROT-015 §5
COLD_START_CIRCUIT_BREAKER,7,TRUE,Maximum pre-source connector calls,Eighth proposed call returns HOLD or creates CLWO; no broad-search loops,OP-PROT-015 §5
ENTRY_RESULT_ORDER_POLICY,EXACT_ID_AND_PREFIX_ONLY,TRUE,Front-door and search result position is nonauthoritative,Never select first/newest/lexically smallest result by position,OP-PROT-015 §§1–3
DIRECT_SEARCH_POLICY,FALLBACK_ONLY_AFTER_ROOT_OR_FRONT_DOOR_FAILURE,TRUE,"Prevents historical, sandbox, snapshot, and package-router misselection",One fallback query plus one broadened retry maximum,OP-PROT-015 §3
COLD_START_REGISTRY_PAYLOAD_POLICY,COMPACT_VIEW_ONLY,TRUE,"Do not dump Dispatch, Claims, and Gate tables during ordinary cold start",Full rows may be read only to repair a named contradiction,"OP-PROT-015 §§4,8"
COLD_START_VIEW_HEALTH_POLICY,LIVE_GATE_KEYS_EQUAL_VIEW_KEYS__NO_FORMULA_ERRORS__CLAIMS_MATCH__EXACT_ENTRY_SOURCE_PRESENT__XLSX_EXPORT_PASS,TRUE,"Hourly self-healing predicate for automatic future-task inclusion, unambiguous source entry, and cross-platform formula safety.","Mismatch, live formula error, missing source, prohibited token, XLSX error, or unsupported wrapper returns HOLD and triggers bounded rollback-capable repair.","OP-PROT-015 §§4,6–7; OP-PROT-016; GP-REC-SELFHEAL-20260727-14"
XLSX_CONTROL_EXPORT_GATE,LIVE_VALUES_MATCH__ZERO_FORMULA_ERRORS__ZERO_HIDDEN_STATE,TRUE,Require same-run live-Sheet comparison and XLSX formula-error/hidden-state scan before operational use.,Any mismatch returns HOLD; exported workbook is never more authoritative than the live Google Sheet.,OP-PROT-016-v1.0; GP-REC-SELFHEAL-20260727-14; GP-REC-SELFHEAL-20260727-01 corroborating
XLSX_FORMULA_ERROR_SET,#NAME?|#REF!|#VALUE!|#DIV/0!|#N/A|SPILL_EQUIVALENT,TRUE,Cross-format regression scan for exported control workbooks.,Repair with cross-compatible formulas or publish a timestamped values-only nonauthoritative snapshot.,AD-XLSX-COMPAT-033; OP-PROT-016-v1.0
CURRENT_SPREADSHEET_EXPORT_PROTOCOL_ID,1ITLtjJXHx9bEYMLqcExvrYnG9LHjS3tsX8MCfnbsVDQ,TRUE,Cross-platform formula profile and same-run XLSX verification gate for all control spreadsheets.,"Operational only; no scientific, root, seal, machine, or release authority.",OP-PROT-016-v1.0
CONTROL_FORMULA_PORTABLE_PROFILE,IF;IFERROR;INDEX;MATCH;LOOKUP;SEARCH;MID;LEFT;RIGHT;LEN;MIN;MAX;OR;AND;ISNUMBER;COUNTIF;COUNTA;SUMPRODUCT;SUM;COUNT,TRUE,Conservative function intersection for formula-bearing control surfaces intended to survive XLSX export.,Exceptions require an amended protocol and same-run exported-workbook proof.,OP-PROT-016 §3
CONTROL_FORMULA_FORBIDDEN_TOKENS,FILTER;REGEXMATCH;REGEXEXTRACT;COUNTUNIQUE;QUERY;ARRAYFORMULA;IMPORTRANGE;DUMMYFUNCTION;_xlfn;_xlws,TRUE,Fail-closed token scan for controlling formulas and their XLSX translations.,Any occurrence returns HOLD unless a verified protocol exception exists.,"OP-PROT-016 §§3,7"
CONTROL_XLSX_SAME_RUN_GATE,LIVE_GOOGLE_PASS_AND_XLSX_EXPORT_PASS,TRUE,Every control formula or schema change must be live-read and exported and tested in the same run before release.,Cached values or historical exports cannot satisfy the gate.,"OP-PROT-016 §§2,6"
CONTROL_XLSX_ERROR_SCAN,#REF!;#DIV/0!;#VALUE!;#NAME?;#N/A;__xludf.DUMMYFUNCTION;_xlfn;_xlws,TRUE,Required exported-workbook computed-error and unsupported-wrapper scan.,"Any hit blocks COMPLETE, RELEASED, or cross-platform-ready claims.","OP-PROT-016 §§2,9"
CURRENT_FROZEN_EXTRACTION_PROTOCOL_ID,1yTjAIDFcTtRmpfOUKFpnNOjWY7E0OZnBg8JN_5-exFs,TRUE,Unique full-line markers; fail closed on multiplicity; preserve leading bytes; normalize CRLF/CR to LF; one trailing LF; UTF-8 no BOM.,Mechanical identity procedure only; cannot alter scientific status or existing frozen bodies.,OP-PROT-017-v1.0
CURRENT_FROZEN_EXTRACTION_REFERENCE_ID,1__wfUJDLEoe0YSQgSbWY4SoN2a3eyq5O,TRUE,Byte-exact conversion-disabled Python reference implementation.,Whole-file expected identity 2273 / d45cef92071c6495213fe76c03452d47466f127c9bc6aa7a3b60fbb70efc7821.,CL-REC-OPPROT017-20260727-01
FUTURE_FREEZE_HEADER_POLICY,OPPROT017_UNIQUE_LINE_MARKERS__NO_EXTERNAL_TOKEN_LINES,TRUE,Every newly created frozen artifact copies the OP-PROT-017 normative sentence and avoids standalone marker-token lines outside delimiters.,Existing frozen bodies remain immutable and valid; nonconforming future artifacts return HOLD.,"OP-PROT-017 §§4,6–8"
CURRENT_THEOREM_B_MANIFEST_ID,1aMBHHO1KRDLWY0tWx4MFhRfYMbeCGX48JW8x3emuEaQ,FALSE,LATEST COMPLETE MEMBERSHIP/WHOLE-EXPORT RECEIPT LS-MAN-046-v1.0 / FINAL 200 CHILDREN / ROOT NONE / SEALED NO / XLSX PASS / PACKAGE COMPLETENESS HOLD.,Do not infer theorem readiness from transport inventory. External reviews and scientific dependencies remain controlling.,LS-MAN-046-v1.0; DQ-058; GP-REC-DQ058; LS-DER-023-v1.1; LS-REQ-019-v1.1
OPPROT017_CONTROL_LINK_POLICY,CURRENT_BOOTSTRAP_AND_AUTOROUTER_MUST_MATCH_CONFIG_EXACT_IDS_AND_RETAIN_OPPROT017_LINKS,TRUE,Resolve the OP-PROT-017 standard and byte-exact reference from Config exact IDs; verify both targets exist and both current wrapper documents retain the links. Wrapper version numbers may advance without changing the invariant.,"Any missing target, 404, pointer mismatch, stale ID, unverified reference identity, or current bootstrap/autorouter link omission returns HOLD and triggers bounded revision-controlled repair.",GP-REC-SELFHEAL-20260727-16; GP-REC-SELFHEAL-20260728-36
OP_PROT_018_DRIVE_ID,1spt8vVbmIrqhqLlTvqn5hl0Yb5a15afB_Un0ncfI5mU,TRUE,Cross-line advisory-lane deconfliction and claim arbitration,Active same-scope prior lane blocks later executor claim; ambiguity returns HOLD,Activated by Decision 35 after DQ-051 measured collision
ADVISORY_LANE_TITLE_PREFIX,CL-LANE-DQ-,TRUE,One-call exact-title discovery of create-only lane states,Markers are additive and advisory; stable-key mirror controls claimability,States CLAIMED / COMPLETE / RELEASED / ABANDONED
ADVISORY_LANE_PREFLIGHT,AFTER_EXACT_SOURCE_BEFORE_CLAIM,TRUE,Require exact Dispatch/Gate/Claim checks plus lane search before material executor claim,Review/falsifier/clean-room/distinct-method overlap must be explicit; otherwise later claimant yields,Not counted against pre-source five-call budget
EXTERNAL_RECON_POLICY,OP-RECON-20260916-v1.0 | 1OgBKoiBdxy4y7oDdjAsKPVgYmrM42M3P | SHA256 653cea7e5f2151b53c8712f759086b64d2bd95e38f3f70f721b3d13877a521cb,TRUE,All-model reconnaissance after exact-source entry; memo binding checked at output/release.,"Preserve current user constraints, frozen evidence, blind review, FS2 and every scientific/release gate.",Explicit Dylan Roy instruction 2026-09-16; bootstrap R16 and autorouter R12 have additive notice; reading mirror 1G1SMUvq51-TMQ277CvsodJFnVWWVgAsKyJX5zeaS8OI; no formula/schema change.
