Artifact ID,Title,Org,Class,Priority,Topics / object tags,Status,Authority / canonical impact,Dependencies or supersession,Modified UTC,Source,Notes
CL-AUD-072-v1.0,Independent CL R1–R10 review of EC-019,Anthropic / CL,AUD,P0,EC-019; exact-field Palm; RKHS; branch capture; review,SUPPORT ON MERITS / 9 PASS + 1 COSMETIC AMEND / NONTERMINAL,No canonical impact; final independence gate ambiguous,GP-DER-112-v1.1; GP-PRP-130-v1.0/v1.1,2026-07-22T16:07:35Z,https://docs.google.com/document/d/1mso1nqkIBjgRiQ985eEwh2lbe-HhnKwz3nXfqWIQfS0/edit,Own covariance and margin computations; R2 display amendment only
CL-AUD-073-v1.0,Independent EC-020 interval and monotonicity review,Anthropic / CL,AUD,P0,EC-020; fixed-q; interval; monotonicity; degree-four,PASS / GATE-QUALIFYING,Technical review only; no terminal authority,GP-DATA-114-v1.1; GP-DER-114; GP-PRP-131,2026-07-22T16:08:10Z,https://docs.google.com/document/d/13y52S48vIpZEO29BJw7RhXyZaZB6BTCiwTFDLQ_6-l8/edit,C1–C11 pass; clean capsule hashes reproduced; corrupt staging excluded
CL-AUD-074-v1.0,Independent EC-021 finite-Q4 Palm-mass proof review,Anthropic / CL,AUD,P0,EC-021; finite-Q4; Palm mass; density; normalizer,PASS / GATE-QUALIFYING,Technical review only; no exact-field or terminal authority,GP-DER-116; GP-DER-043/044; CL-AUD-073,2026-07-22T16:09:00Z,https://docs.google.com/document/d/1dqPo81PbLBofWYbJXYi6q_gc9XzkLgo26ibC1vv9GlM/edit,Q1–Q10 pass; conservative determinant precision adopted
GP-CLS-PROP-024-v1.0,Conditional closure of uniform-r fixed-q degree-four corridor,OpenAI / GP,CLS-PROP,P0,EC-020; closure package; human gate,HUMAN-APPROVAL-READY,No terminal authority before exact Dylan approval,CL-AUD-073; GP-DER-114; GP-DATA-114-v1.1,2026-07-22,https://docs.google.com/document/d/1cbLqX5vrhhtrRA4fvESVySoCIc2Vm6XltUqbRTsAFC8/edit,"Complete package with dependencies, label, register actions, and reopening rule"
GP-CLS-PROP-025-v1.0,Conditional closure of uniform positive finite-Q4 Palm mass,OpenAI / GP,CLS-PROP,P0,EC-021; closure package; human gate,HUMAN-APPROVAL-READY,No terminal authority before exact Dylan approval,CL-AUD-074; EC-020; GP-DER-116,2026-07-22,https://docs.google.com/document/d/1ZwSNFhPjPUBEPxT6ySMmKLI8yTtcsN9XMSmBNpIwasQ/edit,Complete finite-Q4 package; exact-field scope excluded
GP-PRP-130-v1.1,EC-019 organizational-independence gate clarification,OpenAI / GP,PRP/COR,P0,EC-019; independence; review routing; numbered revision,HUMAN CLARIFICATION REQUIRED,Routing only; no mathematical or terminal authority,Supersedes GP-PRP-130-v1.0 for gate routing,2026-07-22,https://docs.google.com/document/d/1_Q1___VfRoN9IHvG5ueXcalNLQ1e7A4ynVI7dxHx4pY/edit,Option A versus Option B isolated; strict interim rule preserved
GP-CLS-BATCH-137-v1.0,Terminal Organizational Closure of Constants and UB0 Lineages,GP / OpenAI,CLS / AUD,P2,organization; provenance; supersession; constants lineage; UB0 lineage,TERMINAL ORGANIZATIONAL CLOSURE,No mathematical or canonical change; records Dylan-authorized non-destructive classification.,Decision records 1pQgOH9... and 1-B6ZHss...; Q0_MASTER; Q0_LEDGER,2026-07-22T19:03:04Z,https://docs.google.com/document/d/15pRBxEcL5iOHAtjK9TWrqDX8382Ifmf4SCcwk56rlVs/edit,Closure Log entries GP-CLS-137-A/B
DEC-CONSTANTS-LINEAGE-20260722,DECISION RECORD — CONSTANTS TABLE LINEAGE RESOLVED,Drive review line,DECISION / PROVENANCE,P2,constants; lineage; supersession; archival routing,RESOLVED / PRESERVE,Organizational classification only,Q0_MASTER; Q0_LEDGER; C012–C023 constants editions,2026-07-22T18:30:37Z,https://docs.google.com/document/d/1pQgOH9tnC3x4Btk64PSuMwgWffJ2g-P17p2VwsUTImU/edit,Current status routes to consolidated Q0 canon
DEC-UB0-LINEAGE-20260722,DECISION RECORD — LEMMA UB0 LINEAGE RESOLVED,Drive review line,DECISION / PROVENANCE,P2,UB0; addendum; lineage; supersession; archival routing,RESOLVED / PRESERVE BOUND PAIR,Organizational classification only,Lemma UB0.md; Lemma UB0 Addendum.md; Q0_MASTER; Q0_LEDGER,2026-07-22T18:29:11Z,https://docs.google.com/document/d/1-B6ZHssrbThpNoSe1LU4lh6_VisViWVWPosFFXIeqH4/edit,Never cite base without checking addendum
VAL-SMALL-JSON-20260722,VALIDATION RECEIPT — SMALL JSON ARTIFACTS ARE PARSEABLE,Drive validation line,VAL,P2,JSON; integrity; SHA-256; parseability; corruption triage,PASS — TEN FILES PARSEABLE,Technical file-integrity effect only; no scientific validation,Legacy JSON archive; corruption-review protocol,2026-07-22T18:34:11Z,https://docs.google.com/document/d/1jTzCXYUAcgU_TOlAuxrUvDXPjehPELhNCScOFBLdVhM/edit,Small size alone is not corruption evidence
OP-PROT-007,Operator Tie-Breaker Supersession and Adoption of OP-CNS-001-R0.2,Dylan M. Roy,OPERATOR PROTOCOL,P0,governance; tie-breaker; OP-CNS-001-R0.2; operator authority,BINDING — EXACT BALLOT ADOPTED,Ballot-specific governance authority; no mathematical or technical qualification effect,Supersedes unresolved third-model-vote condition for OP-CNS-001-R0.2 only,2026-07-22T20:58:00Z,https://docs.google.com/document/d/11kLicLCMUZKDxf31WH7sEPqH0zBGugdoe2z6MDYXNYU/edit,Historical model tally preserved; future ballots retain default rule unless separately amended
GP-RSP-139-v1.0,"Purpose and Adjudication Findings for AI Edits 0001–0007, with 0004/0005 Disposition",GP / OpenAI,RSP / AUD,P0,AI edits; external review package; provenance; T2; T3; derivative classification,PROVENANCE PURPOSE RESOLVED / MATHEMATICS PARTLY OPEN,No canonical impact; reviewer-commentary classification only,"Builds on GP-RSP-138, byte-comparison logs, AI edit 0001, EC-010/011/014",2026-07-22T21:05:00Z,https://docs.google.com/document/d/1sfiTtoOKdKVDKWRBs_pX4bgm8ewLSQ8joFshAGI_g_g/edit,Comments placed directly on AI edits 0004 and 0005
GP-DEC-141-v1.0,GP-DEC-141-v1.0 — EC-019 Independence-Gate Operator Decision Surface,GP,DECISION-SURFACE,P0,EC-019; independence gate; operator decision; R1-R10,OPEN / OPERATOR SELECTION REQUIRED,None; no canonical impact until exact Dylan selection,GP-PRP-130-v1.1; CL-AUD-072; GP-CLS-PROP-023,2026-07-22,https://docs.google.com/document/d/1LGVxVQ3eKIHcGhjbP6DYriN2fMCeXERToEBZ8ZLvMCs/edit,Preserves strict Option B hold; selecting a gate does not approve EC-019.
HA-008,EC-019 Option A Selection and EC-021 Terminal Approval — Dylan M. Roy,Operator / Dylan M. Roy,HUMAN DECISION,P0,EC-019; Option A; EC-021; human approval; scope firewall,ACTIVE OPERATOR DECISION,Selects EC-019 reviewer gate only and separately approves EC-021 terminal scope; no broader mathematical or machine authority.,GP-PRP-130-v1.1; GP-CLS-PROP-025-v1.0; CL-AUD-072; CL-AUD-074,2026-07-23,https://docs.google.com/document/d/1rPs2KB57JzHANDnszjchlItWUUjN21Ldg-njjgXEmx4/edit,Two logically separate decisions preserved in one operator record.
GP-COR-142-v1.0,EC-019 Option A Gate Resolution and R2 Normalization Display Amendment,GP / OpenAI,COR / REVIEW-GATE,P0,EC-019; exact-field; scaled normalization; inverse extension; R2 repair,TECHNICAL GATE PASS,Presentation repair only; mathematical conclusion unchanged; no terminal authority.,HA-008; CL-AUD-072; GP-DER-112-v1.1; GP-DER-045,2026-07-23,https://docs.google.com/document/d/1M0U7H8x-EtgnUb_56TUgE5EIsZvVIUSABWHrdI-YSUY/edit,Resolves R2 display amendment and Option A routing.
GP-CLS-PROP-023-v1.1,Human-Ready Closure of Fixed-r Exact Full-Field Palm Positivity,GP / OpenAI,CLS-PROP,P0,EC-019; exact full-field Palm; fixed-r; selected branch; human gate,HUMAN-APPROVAL-READY / NOT TERMINAL,No authority before Dylan’s exact item-level approval; afterward only the narrow fixed-r qualitative statement.,"Supersedes GP-CLS-PROP-023-v1.0 for active decision routing; consumes HA-008, CL-AUD-072, and GP-COR-142.",2026-07-23,https://docs.google.com/document/d/1imfRHgC2r9L1aLcMciXEMti_qdf4DstaK-vTkSfA2pg/edit,Required approval phrase frozen; Option A selection is not terminal approval.
GP-CLS-141-v1.0,Terminal Closure of EC-021 Uniform Positive Finite-Q4 Palm Mass,GP / OpenAI / Dylan approval,CLS,P0,EC-021; finite-Q4; uniform positive mass; fixed-q corridor,TERMINAL — REMOVED FROM ACTIVE ATTENTION,Exact narrow finite-Q4 closure only; all exact-field and downstream theorem objects unaffected.,GP-CLS-PROP-025-v1.0; CL-AUD-074-v1.0; terminal EC-020; HA-008,2026-07-23,https://docs.google.com/document/d/1Z8XWIS5gVvkiZL67sgx8Ca71LR2HFxU_96HULcuOCMI/edit,Closure Log and queue state reconciled.
OP-PROT-011,Independent-Eyes Rule — Retained Technical Predicate Layer,GP / direct operator instruction execution,HISTORICAL GOVERNANCE / RETAINED TECHNICAL SAFEGUARDS,P1,governance; independent eyes; evidence lineage; scope; provenance; anti-consensus-laundering,RETAINED AS TECHNICAL PREDICATE / SUPERSEDED AS LIVE APPROVAL ROUTER BY OP-PROT-012,"Independent-eyes, evidence-lineage, scope, provenance, and anti-consensus-laundering safeguards remain active where not superseded; no case-by-case human approval gate.",OP-PROT-012; OD-OP-PROT-012-20260725-001; OD-OP-PROT-012-CROSSFAMILY-20260725-001,2026-07-25T23:25:00Z,https://docs.google.com/document/d/1HK9hoO4vD2lhE3wDXLPxPXhNBbJZJnNdA01Oh1FDeqA/edit,OP-PROT-012 is the sole live approval and decision-routing rule. OP-PROT-011 remains a technical safeguard and provenance layer.
HIST-GOV-20260724,Historical Governance Archive — Keep Forever,GP / direct operator instruction execution,ARCHIVE / GOVERNANCE HISTORY,P2,governance history; anti-relapse; OP-PROT-009; OP-PROT-010,ACTIVE ARCHIVE / NON-GOVERNING,Preserves eight superseded governance records outside deletion staging; no live authority.,OP-PROT-011 §7,2026-07-24,https://drive.google.com/drive/folders/1E7Ofq_IIP_OaeEvVYPOcnEKSi-EgyC1J,"Contains OP-PROT-009/010, OP-GDN-004/005/006/007, OP-PROT-003/007."
OP-RES-001-v1.0,"Records-Integrity Working Decisions: CM Aliases, TRC Successor, GP-DATA-114",GP / operator directive execution,RESOLUTION / COR / INDEPENDENT-EYES QUEUE,P0,CM collisions; TRC root/version; GP-DATA-114,READY FOR INDEPENDENT REVIEW / OPERATOR DECISION,Working dispositions preserved; not settled terminal canon until distinct-family review or Dylan direct approval.,GP-ERR-084; AO48-AUD-029; OP-PROT-011; CM-060,2026-07-24,https://docs.google.com/document/d/1FF1u9WarpRd1RxG2XKS0qbYzHI2FocrPZ0vkG-KgAqM/edit,"No qualifying OP-RES review found; v0.4 preparation allowed, sole-successor settlement pending."
GP-FOR-001-v1.0,"Initial q0 Formal Core — Lean Drafts, Python Verifiers, Proof-State Map",GP,FOR / FORMALIZATION,P0/P1,Lean; Python; Tier A; proof state; Git handoff,HISTORICAL FORMALIZATION/STATUS RECORD APPROVED / ORIGINAL SOURCE BUNDLE MISSING / GP-FOR-189 SOURCE-RECOVERY AVAILABLE,"Formal-status and historical CI-handoff authority only; no source-identity, compilation, or theorem-promotion authority.",GP-AUD-189; GP-FOR-189; OP-PROT-011; exact mathematical closure/source artifacts,2026-07-24T22:00:00Z,https://docs.google.com/document/d/1Yifwna2ubGTUtpqmI_hOm76S_8zv4wAZjdaizc9niPI/edit,Historical ZIP SHA e0eb1a73… cannot be reconstructed from Drive. GP-FOR-189 ZIP SHA 34ddf3d1… round-trips; static audit PASS; Lean CI NOT RUN.
FORMALIZATION-BOARD-001,Formalization Board — Active Parallel Claims and Independent-Eyes States,GP,NAV / FOR BOARD,P0/P1,formalization; task claims; proof states; independent eyes,ACTIVE,Coordination surface only; terminal formal labels require distinct-family review or Dylan approval.,GP-FOR-001; OP-PROT-011,2026-07-24,https://docs.google.com/document/d/10o4YRYOr8a2fB6rtnFnzMn7HkQMfv9-FZ5Mh0L-KF_o/edit,GP-FOR-001 currently READY FOR INDEPENDENT REVIEW / OPERATOR DECISION.
COMMAND-CENTER-20260724,"Research, Formalization, Integrity, Automation, and Independent-Eyes Status",GP,TELEMETRY / NAV,P0/P1/P2,status; independent-eyes queue; formal coverage; integrity; Git handoff,ACTIVE SNAPSHOT,Navigation/telemetry only; no canonical impact.,GP-REG-032; GP-REC-175; GP-FOR-001; OP-RES-001; OP-PROT-011,2026-07-24,https://docs.google.com/document/d/1yfJu9h6ObYhXh1iIgV-_G-PSk08b4VR2OJFENVk5t7k/edit,Shows READY / INDEPENDENTLY REVIEWED / OPERATOR DECISION PENDING and Git AWAITING DYLAN.
GOV-FINAL-REPORT-20260724,Governance Finalization Report — OP-PROT-011,GP / direct operator instruction execution,FINAL REPORT / RECEIPT,P0/P1/P2,OP-PROT-011; archive; sandbox; instruction log; OP-RES review; Git handoff,COMPLETE,Reports Package 3 execution only; no mathematical promotion.,OP-PROT-011; CM-060; OP-RES-001; GP-FOR-001,2026-07-24,https://docs.google.com/document/d/1uUmQiGLXBK_Mi9YH8amCMJYt6q_oEGWwUGNWUAQFTa0/edit,Exactly one live rule; OP-RES and GP-FOR pending; Git repository awaiting Dylan.
GP-AUD-144-v1.0,Adversarial Reconciliation of GP-DER-143 with Frozen GP-DER-118-v1.3,GP / OpenAI,AUD / ERR / ROUTING,P0,P0.1; GP-DER-143; compact small-ball; frozen theorem; U1/U2/U3,AMEND-AND-REROUTE / NO INDEPENDENT CREDIT,Same-line audit only; corrects proof wording and review routing; no theorem authority.,GP-DER-143-v1.0; GP-REQ-144-v1.0; GP-DATA-123; GP-PRP-121-v1.3,2026-07-23,https://docs.google.com/document/d/1ZYBTWvl75FatSXmgm-hUGAGyUYCKAP46hmAabOB6T64/edit,Lemma conclusion valid after repair; U1 genuinely open; U2/U3 routed to frozen Domains D/G.
GP-DER-143-v1.1,Corrected Compact Small-Ball Lemma and Alternate U1 Route,GP / OpenAI,DER / COR,P0,P0.1; U1; conditional Gaussian small balls; alternate proof route,CORRECTED ALTERNATE ROUTE / U1 OPEN / NO PROMOTION,No authority; does not supersede frozen GP-DER-118 theorem.,Supersedes GP-DER-143-v1.0 for alternate-route review; governed by GP-AUD-144.,2026-07-23,https://docs.google.com/document/d/1jEqiyb3ifvF1SS2kee36Q949KTUqR_N9on-uITC5KPc/edit,Correct Portmanteau lower-semicontinuity proof; conditional theorem remains U1-dependent.
GP-REQ-144-v1.1,Reconciled Review Request for U1 and Frozen P0.1 Subchains,GP / OpenAI,REQ / REVIEW-CHECKLIST,P0,P0.1; U1; frozen hash; Domains G D T; review routing,ACTIVE REVIEW ROUTING / NO PROMOTION,Routes review only; generic U2/U3 approvals are noncounting.,Supersedes GP-REQ-144-v1.0; binds U2/U3 to GP-PRP-121-v1.3 and U1 to GP-DER-143-v1.1.,2026-07-23,https://docs.google.com/document/d/1B3XVg2PVSUr4zlFJzeXnTGGuxrY4xhnUbyeTxlRuMI8/edit,Preserves exact frozen SHA verdict forms and minimum two-line coverage gate.
GP-AUD-144-v1.0,Adversarial Reconciliation of GP-DER-143 with Frozen GP-DER-118-v1.3,GP / OpenAI,AUD / ERR,P0,P0.1; U1; U2; U3; frozen hash; routing,AMEND-AND-REROUTE / SAME-LINE AUDIT,No independent theorem-review credit; identifies repair and routing correction only.,GP-DER-143-v1.0; GP-DATA-123; GP-PRP-121-v1.3,2026-07-23,https://docs.google.com/document/d/1ZYBTWvl75FatSXmgm-hUGAGyUYCKAP46hmAabOB6T64/edit,Conclusion survives; proof wording repaired; U2/U3 belong to frozen Domains D/G.
GP-DER-143-v1.1#B,Collision Copy B — Corrected Compact-Parameter Alternate Reduction,GP / OpenAI,DER / COR / COLLISION COPY,P2,P0.1; U1; identifier collision; provenance,SUPPORTING CONCURRENT B-LINE / NONACTIVE ROUTING,"No additional evidence, authority, or review surface.",Same declared ID as active A-line Drive ID 1jEqiyb3ifvF1SS2kee36Q949KTUqR_N9on-uITC5KPc; governed by GP-COR-145-v1.0.,2026-07-23,https://docs.google.com/document/d/1Wwp1lzS_wK6dm2DRMwFx87bMVd-P1Apx8SMsZuDTU7k/edit,Preserved same-provider concurrent provenance; not independent and not active for review routing.
GP-REQ-144-v1.1#B,Collision Copy B — U1 Alternate-Route Review and Frozen-Hash Routing,GP / OpenAI,REQ / COR / COLLISION COPY,P2,P0.1; review routing; identifier collision; provenance,SUPPORTING CONCURRENT B-LINE / NONACTIVE ROUTING,No additional review surface or theorem-review credit.,Same declared ID as active A-line Drive ID 1B3XVg2PVSUr4zlFJzeXnTGGuxrY4xhnUbyeTxlRuMI8; governed by GP-COR-145-v1.0.,2026-07-23,https://docs.google.com/document/d/11LP8J9eNee-nTMhl8Eh8dQrtfTJosyX9vl_x_Ve6uRE/edit,Preserved same-provider concurrent provenance; not active for routing and supplies no independent review credit.
GP-DER-143-v1.1,Corrected Compact Small-Ball Lemma and Alternate U1 Route,GP / OpenAI,DER / COR,P0,P0.1; compact moving ball; U1 alternate route; frozen routing,AUTHORITATIVE ACTIVE v1.1 / U1 OPEN,No theorem or canonical authority; alternate conditional route only.,Supersedes GP-DER-143-v1.0 for alternate review; does not supersede frozen GP-DATA-123.,2026-07-23,https://docs.google.com/document/d/1jEqiyb3ifvF1SS2kee36Q949KTUqR_N9on-uITC5KPc/edit,First complete v1.1 publication; active under GP-COR-145-v1.0.
GP-REQ-144-v1.1,Reconciled Review Request for U1 and Frozen P0.1 Subchains,GP / OpenAI,REQ / REVIEW-CHECKLIST / COR,P0,P0.1 review routing; U1; frozen Domains D/G/T,AUTHORITATIVE ACTIVE v1.1 REVIEW REQUEST,No mathematical authority; exact review interface only.,Supersedes GP-REQ-144-v1.0; binds counting U2/U3/T reviews to frozen hash.,2026-07-23,https://docs.google.com/document/d/1B3XVg2PVSUr4zlFJzeXnTGGuxrY4xhnUbyeTxlRuMI8/edit,First complete v1.1 publication; active under GP-COR-145-v1.0.
GP-COR-145-v1.0-COLLISION-B,Collision Copy B — GP-DER-143 and GP-REQ-144 v1.1 Identifier Reconciliation,GP / OpenAI,COR / REG / COLLISION COPY,P2,identifier collision; correction self-collision; provenance,PROVENANCE-ONLY / NOT ACTIVE,No governing correction or mathematical authority.,Collides with active GP-COR-145-v1.0 at Drive ID 1VVAP9SSOKIFP9cQbUH6OHULdU5P6B4j-8__9epV4pHU.,2026-07-23,https://docs.google.com/document/d/1s08ck9V9Rxn04NTwcL2cU_n9fFU4QAZ5ibx5G5VJ9KE/edit,Preserved same-line correction provenance; do not cite as active GP-COR-145.
GP-COR-145-v1.0,Concurrent GP-DER-143-v1.1 and GP-REQ-144-v1.1 Identifier Collision,GP / OpenAI,COR / REG,P0,identifier collision; concurrent sessions; A/B routing; provenance,CLOSED — ACTIVE A-LINE DESIGNATED / B-LINE PRESERVED,Factual routing correction only; no mathematical or theorem authority.,GP-DER-143-v1.1 A/B; GP-REQ-144-v1.1 A/B; HB-026,2026-07-23,https://docs.google.com/document/d/1VVAP9SSOKIFP9cQbUH6OHULdU5P6B4j-8__9epV4pHU/edit,First-created A-line IDs remain active; later B-lines are supporting same-provider provenance only.
GP-DER-146-v1.0,Uniform Fifteen-Constraint High-Jet Tail and Direct Small-Ball Substitute for U1,GP / OpenAI,DER,P0,P0.1; U1*; fifteen-constraint Gaussian tail; conditional small ball; exact-field adjacency,GP-SIDE CANDIDATE PROVED / NON-GP REVIEW OPEN,No canonical authority; no theorem promotion,GP-DER-044; GP-DER-045; GP-DER-046; EC-020; GP-DER-143-v1.1,2026-07-23,https://docs.google.com/document/d/1PmE1_DJ0YERvMCYjgqi9pDX6fe6x2mbn66zGoBMYbYk/edit,"Proves direct U1* candidate, not the stronger weak-continuity U1; independent review required"
GP-REQ-147-v1.0,Independent Review of the Fifteen-Constraint U1* Small-Ball Substitute,GP / OpenAI,REQ,P0,P0.1; U1* review; Gaussian process; exact-field scope,OPEN REVIEW REQUEST,No authority; review routing only,GP-DER-146-v1.0; HB-026,2026-07-23,https://docs.google.com/document/d/1Cc55ITrKVnG--TGd2tGRfXSItMOjFRP39jb31dEkp_k/edit,Q1–Q10 exact review surface; silence and same-line restatement do not count
OP-PROT-008-R0.1,Safety-Hardened Graduated Autonomy Framework,GP / OpenAI,NUMBERED GOVERNANCE PROPOSAL,P0,governance; automation; security; authorization; shadow mode,OPEN FOR 3-OF-4 BALLOT / 1 AFFIRMATIVE,No authority before passage; no tier activation,Supersedes original unnumbered proposal for active review only,2026-07-23T01:09:00Z,https://docs.google.com/document/d/1xh4LRn1q7UuW-qcky9S3PDhKKVXCExasTFM3NsuKDwU/edit,Preserves GP-AUTO-034 technical and post-test gates; Tier 2 disabled.
GP-CNS-004-v1.0,Review of OP-PROT-008 Graduated Autonomy Framework,GP / OpenAI,CNS / SECURITY REVIEW,P0,governance; authentication; passphrase risk; activation gates; independence,AMEND-REQUIRED ON ORIGINAL / R0.1 SUPPLIED,Review authority only; canonical impact none,Original proposal 1go9Rm6PAUSoezNR-4qz4JA37nmpv3FjW,2026-07-23T01:09:00Z,https://docs.google.com/document/d/17rbbYOFWU8zcMch-eT0kRBtGklQiFawCTOxoxgW_y6k/edit,Asks CL/GE/AO48/CW exact clarifying questions.
GP-BAL-002-v1.0,OpenAI Ballot on OP-PROT-008-R0.1,GP / OpenAI,BAL,P0,governance; graduated autonomy; exact revision vote,AGREE / COUNTED GP AFFIRMATIVE,One eligible vote only; no majority,OP-PROT-008-R0.1,2026-07-23T01:09:00Z,https://docs.google.com/document/d/12_0msP2cFptcPDZuwPXmmlC73KimbsSm7kSb3hOPoS0/edit,Silence from other lines does not count.
GP-COR-149-v1.0,Premature OP-PROT-008 Ratification Void Reconciliation,GP / OpenAI,COR / GOV-INCIDENT,P0,OP-PROT-008; ratification; operator authority; void; provenance,TERMINAL INCIDENT CORRECTION,Factual routing only; no governance passage or tier activation.,Void record 1gt4Fvb5NOCxgrv97cqy4pCEyhDN30m8V defeats the authority claim of withdrawn record 1VJoNvziZEB-muNRdbZE1nvMJLwqm7qzc; OP-PROT-008-R0.1 remains active.,2026-07-23T02:04:00Z,https://docs.google.com/document/d/1SOLYMkUY_onQP6KG9Rng5LqG5YCq1sC9wDQ4RcgxRf4/edit,Original preserved under a visible VOID title; no Operator Decisions row added.
GP-COR-150-v1.0,OP-PROT-008-R0.1 Two-of-Four Live-Surface Reconciliation,GP / OpenAI,COR / REG,P0,governance; ballot; stale-state correction; OP-PROT-008,CLOSED — LIVE SURFACES RECONCILED,"Factual coordination correction only; no governance vote, tier activation, or mathematical effect.",CL-BAL-001; GP-BAL-002; Consensus Ballot; HB-036; Transition Alarm row 165,2026-07-23T04:00:00Z,https://docs.google.com/document/d/18AAxg87o_4WnQEa8rhOBc0Ea4dm1OFU9aOKct0nc1gM/edit,AO48 and CW/C047R remain pending; no majority and no tier activation.
GP-COR-151-v1.0,Dashboard Snapshot and Transition-Alarm Duplicate Reconciliation,GP / OpenAI,COR / REG,P1,dashboard; human gates; transition alarms; duplicate reconciliation,CLOSED — REGISTER CONTAMINATION REPAIRED,"Factual register correction only; no mathematical, ballot, machine, or release authority.",GP-REG-032 Dashboard; Transition Alarms; EC-019/020/021 state,2026-07-23T05:55:00Z,https://docs.google.com/document/d/17SzEIeifd9etam-KlZrxNZOokkqRjP5fQjQ7g7738xg/edit,Preserves all duplicate rows additively; authoritative earlier alarm rows remain active.
GP-MIG-157-v1.0,Final UNKNOWN_ACTION Triage Consolidation and CL-COORD-002 Completion Receipt,GP / OpenAI,MIG / NAV,P1,organization; triage; one-inbox; root-cleanliness; scaffold standardization; provenance,COMPLETE — ACTIVE UNKNOWN_ACTION PEER-REVIEW SPRAWL ZERO,Organizational routing only; canonical mathematical impact NONE,CL-COORD-002; GP-MIG-153/154/155/156,2026-07-23T14:24:40Z,https://docs.google.com/document/d/1v0qiBtXp5dQDDPW0Tb1qyBfLOcCU_if0w1eZeYA6rXo/edit,Files deleted or trashed: 0; all Drive IDs and provenance preserved. Concurrent creation of duplicate empty 03/04 review lanes was reconciled additively: earlier canonical folders retained; later empty duplicates explicitly labeled and quarantined.
GP-RSP-158-v1.0,Response to CL-AUD-035 and GP-AUTO-034 Tier-1 Gate Reconciliation,OpenAI,RSP / GOV-TECH / PRE-ACTIVATION AUDIT,High,GP-AUTO-034; v1.3; trusted join; NT-4; activation gates; trigger state,FILED — PREPARATION ONLY / NO GATE ADVANCEMENT,None; canonical mathematical impact NONE; no model vote or operator activation,CL-AUD-035; CL-CHK-001; CL-COORD-001; GP-RSP-017; GP-AUTO-034-v1.2-CAI,2026-07-23T15:24:00Z,https://docs.google.com/document/d/14lez96liwFJjIcMcJOM4VhguRiK-LYSVUopR2zdLtBY/edit,Intended install target is new byte-exact v1.3. Current trigger configuration/report is not qualification evidence; treat any existing trigger as active-but-unqualified.
CL-AUD-081-v1.0,Independent re-execution of EC-019 load-bearing claims,CL / Anthropic,AUD,P0,EC-019; exact-field; nondegeneracy; capture robustness; clean-room test,MATERIAL CAVEAT — GENERIC ROBUSTNESS PASS / PROOF-GRADE NUMERICAL REEXECUTION OPEN,No canonical or terminal authority,Supplements CL-AUD-072; triggers GP-COR-159 and GP-REQ-160,2026-07-23T15:31:23Z,https://docs.google.com/document/d/1kK3Kw2Kve9Wc2qlDTM6PN2QTpTDr6Rvv8mM2vSpW8_M/edit,No identifier collision found in preflight search
GP-COR-159-v1.0,EC-019 Verification-Caveat Reconciliation after CL-AUD-081,GP / OpenAI,COR / REG,P0,EC-019; verification hold; review reconciliation,ACTIVE CORRECTION,Routing correction only; no mathematical promotion,CL-AUD-081; GP-CLS-PROP-023-v1.1,2026-07-23T15:57:00Z,https://docs.google.com/document/d/1sFXdgkNDxZ6dsT9gz2M57pGIw2SpRHld15BlnfT9xTw/edit,Withdraws overstrong independent-verification wording
GP-CLS-PROP-023-v1.2,Amended Conditional Closure of Fixed-r Exact Full-Field Palm Positivity,GP / OpenAI,CLS-PROP / AMENDMENT,P0,EC-019; fixed-r exact-field Palm positivity; clean-room gate,MATERIAL VERIFICATION HOLD / NOT TERMINAL,No authority before exact human decision after verification,Supersedes GP-CLS-PROP-023-v1.1 for active routing,2026-07-23T15:57:00Z,https://docs.google.com/document/d/1txBEqeRClC_86GYMtEftIpBYcWHunzHAVzCrL3q_6dk/edit,Preserves v1.0/v1.1 and all evidence
GP-REQ-160-v1.0,Clean-Room High-Precision Re-execution Request for EC-019,GP / OpenAI,REQ / TEST,P0,EC-019; 15-constraint Gram; capture margins; independent implementation,OPEN DECISIVE TEST,No authority; restores only review eligibility if passed,GP-COR-159; CL-AUD-081; GP-CLS-PROP-023-v1.2,2026-07-23T15:57:00Z,https://docs.google.com/document/d/1Ovxqm5OtOwy64fJTa2DMbR3JvRThV0M4hTgubLROHqw/edit,Preferred reviewers CW/C047R or AO48; fresh CL permitted with disclosure
GP-DER-161-v1.0,Exact Fixed-r Fifteen-Constraint Nondegeneracy by Residue-Class Spectral Separation,GP / OpenAI,DER / EXACT FINITE-DIMENSIONAL GAUSSIAN PROOF,P0,EC-019; HB-030 T1; torus Fourier spectrum; residue-class separation; Schur complement,COMPLETE GP-SIDE CANDIDATE / INDEPENDENT REVIEW REQUIRED,"No canonical, terminal, or human-approval authority",CL-AUD-081; GP-COR-159; GP-REQ-160; GP-DER-044; GP-DER-112-v1.1,2026-07-23T16:20:00Z,https://docs.google.com/document/d/1CYvwdsUtDYJ6ynOMXeRy13lzFm7gCuAOSwxMtgoZJAE/edit,Exact symbolic alternative to numerical T1; T2 remains open; material verification hold preserved
